Number,FamilyName,GivenName,ResourceName,ImageIndex,SortOrder,AddedSeason,AddedAs,Sell,Fusion,NoneRewardCategory,RewardCategory,Cost,Sex,Faction,FusionType,Rarity,AllowSpecialView,SpecialViewType,CraftPenaltyExist,EasyBindAble,BaseCardExp,BaseExp,BaseCost,BaseHp,BaseAtk,BaseMaxLevel,MaxHp,MaxAtk,EnhanceCount,EnhanceIncRate,EvolveCount,EvolveIncLevel,EvolveReqPoint,Passive,SkillIndex,SkillLevel,PassiveSkillIndex,PassiveSkillLevel,Role,PortraitWidth,PortraitHeight,PortraitOffsetX,PortraitOffsetY,SpineScale,CollectionInvisible,WayToGet,CardDesc,Illustrator,WornItemNumber
1001,,그라프 체펠린,그라프체펠린,1001,10010,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",2,0,3,0,1,,,,,0,100,100,48,73,40,243,368,5,5,0,20,"[10000, 15000, 2000000000]",0,2003,1,0,0,Dealer,512,512,0,0,0,0,,"고대 강철대륙의 대전쟁에서 활약할 뻔한 전사.
출전 하루 전날 몸살에 걸려 전투에 빠진 것이 천추의 한으로 남아있다.
최근엔 락스피릿을 열심히 연마하고 있다고 하는데, 그 효과는 아직 미지수.

원전: 세계2차대전사",김치도살자,"[0, 0, 0, 0]"
1002,,네시,네시,1002,10020,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",5,0,4,0,1,,,,,0,100,100,80,119,40,402,597,5,5,0,20,"[10000, 15000, 2000000000]",1,12004,1,0,0,Dealer,512,512,0,0,0,0,,"호수에서 조용히 수영하는 것을 즐기는 소녀.
부끄러움이 많아서 사람들 눈에 띄는 것을 좋아하지 않는다.
그런데도 그녀의 모습을 보려고 사람들이 카메라를 들고 기다리고 있어서 곤란해하는 중.

원전: 영국 괴담
",하야링,"[0, 0, 0, 0]"
1003,,닥터 지킬,닥터지킬,1003,10030,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",6,1,4,0,1,,,,,0,100,100,108,109,40,544,548,5,5,0,20,"[10000, 15000, 2000000000]",0,3002,1,0,0,Healer,512,512,0,0,0,0,,"소심한 성격이 고민인 의사.
걸핏하면 울음을 터트리는 성격 때문에 걱정이 많다.
어떻게든 성격 교정을 하려고 노력하고 있는데, 결과가 좋게 나올지는 알 수 없다.

원전: <지킬 박사와 하이드>",니시,"[0, 0, 0, 0]"
1005,,바이올렛 헌터,바이올렛헌터,1005,10050,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",5,0,4,0,1,,,,,0,100,100,97,95,40,487,479,5,5,0,20,"[10000, 15000, 2000000000]",1,13001,1,0,0,Healer,512,512,0,0,0,0,,"너도밤나무 저택에 가정교사로 일하고 있는 여성.
어쩐지 신비한 분위기를 풍기고 있지만, 큰 범죄에 연루되었다는 의혹도 받고 있다.

원전: <셜록 홈즈 : 너도밤나무 집>",옹달,"[0, 0, 0, 0]"
1007,,엘리게이터,엘리게이터,1007,10070,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",3,0,4,0,1,,,,,0,100,100,60,89,40,302,448,5,5,0,20,"[10000, 15000, 2000000000]",0,2005,1,0,0,Dealer,512,512,0,0,0,0,,"큰 도시의 하수구에서 살고 있는 소녀.
멋모르고 내려온 희생자들에게 겁을 줘서 지갑을 뺏는다고 한다.

원전: 도시 괴담",슬라정,"[0, 0, 0, 0]"
1008,,오파츠,오파츠,1008,10080,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",8,0,3,0,1,,,,,0,100,100,160,107,40,801,538,5,5,0,20,"[10000, 15000, 2000000000]",0,1001,1,0,0,Tanker,512,512,0,0,0,0,,"베테랑 고고학자 소녀.
역사적으로 이치에 맞지 않는 이상한 유물들을 전문적으로 취급한다. 
커다란 배낭에 다양한 유물을 넣어 다니는데, 어떤 물건들이 들어있는지는 아무도 알지 못한다.

원전: 미스터리",하야링,"[0, 0, 0, 0]"
1009,,유선,유선,1009,10090,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",4,1,1,0,1,,,,,0,100,100,70,103,40,351,519,5,5,0,20,"[10000, 15000, 2000000000]",0,2006,1,0,0,Dealer,512,512,0,0,0,0,,"자수성가로 황제가 된 아버지를 둔 소년.
갓난아기 때 가슴이 큰 무사에게 구조된 경험이 있기 때문에 큰 가슴에 집착하는 경향이 있다.
말버릇은 '이게 다 아빠 때문이야!'

원전: <삼국지연의>",마노,"[0, 0, 0, 0]"
1010,,이백,이백,1010,10100,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",3,0,1,0,1,,,,,0,100,100,73,71,40,366,356,5,5,0,20,"[10000, 15000, 2000000000]",0,3003,1,0,0,Healer,512,512,0,0,0,0,,"천재 시인.
엄청난 술고래로, 술 없이는 단 하루도 살 수 없다고 한다.
달밤에 위험한 뱃놀이를 즐겨서 친구인 두보가 걱정하고 있다.

원전: 역사",앵화룡,"[0, 0, 0, 0]"
1015,,큐리오,큐리오,1015,10150,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",2,0,3,0,1,,,,,0,100,100,59,58,40,299,291,5,5,0,20,"[10000, 15000, 2000000000]",0,3001,1,0,0,Healer,512,512,0,0,0,0,,"탐사 임무를 맡은 소녀.
미지의 땅으로 가서 땅을 파거나 냄새를 맡거나 하는 것이 임무.
귀여운 외모가 콤플렉스라서 키에 대해 언급하는 것은 금기.
화나면 가지고 다니는 드릴로 구멍을 낼지도 모른다.
혼자라 가끔 외로울 때가 있지만 오늘도 씩씩하게 맡은 임무를 다하고 있다.

원전: 화성 탐사선",죽돌이가싫어,"[0, 0, 0, 0]"
1016,,파이어 플라이,파이어플라이,1016,10160,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",5,0,3,0,1,,,,,0,100,100,77,116,40,620,581,5,5,0,20,"[10000, 15000, 2000000000]",1,12003,1,0,0,Dealer,512,512,0,0,0,0,,"방어보다는 공격을 좋아하는 탱크 소녀.
17파운더포로 집중 포격하는 스타일.
그러나 방어에는 취약해서 한 대만 맞아도 울어버린다고 한다.

원전: 세계2차대전사",나예,"[0, 0, 0, 0]"
1017,,포르토스,포르토스,1017,10170,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",4,0,2,0,1,,,,,0,100,100,71,105,40,357,527,5,5,0,20,"[10000, 15000, 2000000000]",0,2001,1,0,0,Dealer,512,512,0,0,0,0,,"국왕을 위해 충성을 바치기로 한 삼총사 중 한 명.
생각하는 것을 별로 안 좋아하기 때문에 종종 무식하다는 얘기를 듣지만, 사실은 자신의 두뇌보다 육체를 더 신뢰하고 있기 때문이라고.
물론 믿는 사람은 아무도 없다.

원전: <삼총사>",망고망구,"[0, 0, 0, 0]"
1019,,하이드,하이드,1019,10190,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",7,0,4,0,1,,,,,0,100,100,151,99,40,757,499,5,5,0,20,"[10000, 15000, 2000000000]",0,1003,1,0,0,Tanker,512,512,0,0,0,0,,"지킬 박사의 쌍둥이 동생으로 알려져 있다.
질이 나쁜 폭력배로, 매일 밤 거리를 배회하며 사소한 일로 사람들에게 시비를 건다고 한다.
그러나 지킬 박사의 측근들은 지킬 박사에겐 가족이 없다고 증언했기 때문에, 그녀의 정체에 대해 무성한 소문이 돌고 있다.

원전: <지킬 박사와 하이드>",브리스카,"[0, 0, 0, 0]"
1020,,헤르미아,헤르미아,1020,10200,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",2,0,2,0,1,,,,,0,100,100,59,61,40,299,309,5,5,0,20,"[10000, 15000, 2000000000]",0,3003,1,0,0,Healer,512,512,0,0,0,0,,"한여름 밤의 꿈을 꾸고 있는 소녀.
좋아하는 사람이 있는 것 같은데 다른 사람에게 프로포즈를 받아서 곤란한 중이다.
야반도주를 계획하고 있는 것 같은데, 사랑의 도피가 성공할지는 미지수.

원전: <한 여름밤의 꿈>",2GOLD,"[0, 0, 0, 0]"
1021,,곽가,곽가,1021,10210,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",6,0,1,0,1,,,,,0,100,100,112,112,40,562,564,5,5,0,20,"[10000, 15000, 2000000000]",0,3004,1,0,0,Healer,512,512,0,0,0,0,,"최고의 군사 중 한명으로 알려져 있다.
그녀가 실행한 일들 중에 실패한 일이 없어서 대단한 신뢰를 얻고 있다.
그러나 몸이 약해서 병상에서 머물고 있는 것이 문제.

원전: <삼국지연의>",DINO,"[0, 0, 0, 0]"
1023,,야차,야차,1023,10230,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",4,0,1,0,1,,,,,0,100,100,103,70,40,517,350,5,5,0,20,"[10000, 15000, 2000000000]",0,1004,1,0,0,Tanker,512,512,0,0,0,0,,"붉은 얼굴을 한 악동.
장난치는 것을 좋아해서 여기저기 기웃거린다.
여러모로 민폐가 크기 때문에 사람들이 싫어하지만, 본인은 개의치 않아 한다.

원전: 중국 전설",Echtray,"[0, 0, 0, 0]"
1024,,아틀란티스,아틀란티스,1024,10240,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",8,1,3,0,1,,,,,0,100,100,161,108,40,806,544,5,5,0,20,"[10000, 15000, 2000000000]",0,1002,1,0,0,Tanker,512,512,0,0,0,0,,"깊은 바닷속의 제국을 다스리는 왕자.
건방지고 자존심이 높은 성격 때문에 주변에서 어려워하지만, 사실 왕자로서의 체면을 위해서 그러는 듯.
사석에서는 상냥하고 다정하다고 알려져 있는데, 그의 시녀들에게서 인기가 높은 걸 보면 설득력이 있는 지도?

원전: 미스터리",까르핀,"[0, 0, 0, 0]"
1025,,은각,은각,1025,10250,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",7,1,1,0,1,,,,,0,100,100,145,97,40,726,485,5,5,0,20,"[10000, 15000, 2000000000]",1,11002,1,0,0,Tanker,512,512,0,0,0,0,,"금각 은각 남매의 동생.
원래는 어떤 높으신 분의 시종이었으나, 물건을 훔쳐서 도망쳐 무위도식하고 있다.
무엇이든 빨아들이는 호리병을 가지고 있지만, 사용 방법을 몰라 청소기로 사용하고 있는 모양.
누나인 금각이랑은 티격태격하면서도 사이좋게 잘 지내고 있는 듯하다.

원전: <서유기>",RANDY,"[0, 0, 0, 0]"
1026,,그렘린,그렘린,1026,10260,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",6,0,2,0,1,,,,,0,100,100,115,114,40,575,572,5,5,0,20,"[10000, 15000, 2000000000]",1,13001,1,0,0,Healer,512,512,0,0,0,0,,"사상 최악의 기계치.
어느 정도냐 하면, 만지는 기계들은 죄다 폭발하는 지경이다.
본인도 처음엔 자신의 이런 능력 때문에 좌절을 겪었지만, 무사히 극복하고 이제는 보이는 기계들을 죄다 터트리고 다닌다.

원전: 영국 전설",앙슝,"[0, 0, 0, 0]"
1027,,호루스,호루스,1027,10270,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",7,1,2,0,1,,,,,0,100,100,99,147,40,498,737,5,5,0,20,"[10000, 15000, 2000000000]",1,12002,1,0,0,Dealer,512,512,0,0,0,0,,"먼 차원에 기록되어 있는 고대왕국의 최초의 왕이자 최후의 신.
부모의 원수를 갚기 위해 절치부심하여 결국 복수를 이루어 냈다.
지금은 요가나 배우며 느긋하게 생활하고 있는 중.

원전: 이집트 신화",유빈,"[0, 0, 0, 0]"
1028,,바스테트,바스테트,1028,10280,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",3,0,2,0,1,,,,,0,100,100,87,57,40,438,288,5,5,0,20,"[10000, 15000, 2000000000]",1,11003,1,0,0,Tanker,512,512,0,0,0,0,,"먼 차원에 기록되어 있는 고대왕국의 고양이 소녀.
왕궁에서 호의호식하면서 잉여로운 생활을 누리고 있지만, 신경 쓰는 사람은 별로 없는 듯.
여러 모로 귀여워서 추종자들이 많은 듯하다.

원전: 이집트 신화",박냠,"[0, 0, 0, 0]"
1029,,프로스페로,프로스페로,1029,10290,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",2,0,3,0,1,,,,,0,100,100,72,49,40,361,248,5,5,0,20,"[10000, 15000, 2000000000]",1,11004,1,0,0,Tanker,512,512,0,0,0,0,,"누명을 쓰고 유배를 당한 메카닉 엔지니어.
사탕 가게의 주인인 에어리얼에게 구애받고 있는 듯하지만, 정작 본인은 별로 관심이 없는 듯.
지금은 자신의 억울한 누명을 벗는 것에만 집중하려는 듯하다.

원전: <한여름 밤의 꿈>",레인,"[0, 0, 0, 0]"
1030,,닥터 그리핀,닥터그리핀,1030,10300,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",4,0,3,0,1,,,,,0,100,100,105,71,40,526,357,5,5,0,20,"[10000, 15000, 2000000000]",1,11005,1,0,0,Tanker,512,512,0,0,0,0,,"광학 미채를 개발하고 있는 과학자.
투명 망토를 개발해서 쓰고 다니는 것 같지만, 어쩐지 처음부터 존재감이 없던 인물이라 효과는 미미한 듯.

원전: <투명 인간>",문어인간,"[0, 0, 0, 0]"
1031,,노지심,노지심,1031,10310,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",7,0,1,0,1,,,,,0,100,100,124,122,40,621,611,5,5,0,20,"[10000, 15000, 2000000000]",0,3005,1,0,0,Healer,512,512,0,0,0,0,,"락 스피릿을 부르짖는 열혈 락커.
불 같은 성격으로, 열받으면 마이크 스탠드를 휘두르기 때문에 조심해야 한다.

원전: <수호지>",마노,"[0, 0, 0, 0]"
