ZoneNumber,ZoneName,TagName,ZoneSubType,EnterSp,AlwaysVisible,LimitLevel,PlayAgain,AvatarType,DailyCountExist,DailyGroup,DailyBossExist,DailyFactionCheck,ExpGain,MoneyGain,FirstClearItem,FirstClearCard,FirstClearReward,ClearItem,ClearCard,ClearReward,FirstClearExp,FirstClearEventPoint,FirstClearMoney,ClearExp,ClearEventPoint,ClearMoney,BossInfo,BossReward,PopupId,PopupArgs,Percent_EventPoint,Event_EventPoint,Percent_ExpLucky,Event_ExpLucky,Percent_MoneyLucky,Event_MoneyLucky,Percent_Raid,Event_Raid,Percent_Raid2,Event_Raid2,Percent_BonusSP,Event_BonusSP,Percent_ItemFix,Event_ItemFix,Percent_ItemFix2,Event_ItemFix2,Percent_ItemFix3,Event_ItemFix3,Percent_ItemRandom,Event_ItemRandom,Percent_Piece,Event_Piece,Percent_Friend,Event_Friend,Percent_PvP,Event_PvP,Percent_RandomBranch,Event_RandomBranch,Percent_Non,MapFileName,ThumbnailName,BgmName,BattleImage,ZoneInfoDesc,AdventureSkipConditionStat
0,Standard,,1,10,1,1,1,0,0,0,0,0,0,0,[0],0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",100,"[1, 1]",0,"[1, 1]",100,"[1, 3]",0,"[1, 1]",25,"[1, 2, 5]",0,[],0,[],0,[1],150,[0],0,[1],0,"[4001, 4008]",525,Library_1.json,thumb_library_scene,,Library_battle,,0
1,도서관 동쪽 구역1,,2,10,1,1,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 1]",75,"[11004, 1]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
2,도서관 동쪽 구역2,,2,10,1,1,1,1,0,0,0,0,0,0,"[1, 1]",0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 1]",75,"[11004, 1]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
3,도서관 동쪽 구역3,,2,10,1,1,1,1,0,0,0,0,0,0,"[14, 1]",0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 2]",75,"[11004, 2]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
4,도서관 동쪽 구역4,,2,10,1,1,1,1,0,0,0,0,0,0,"[17, 1]",0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 2]",75,"[11004, 2]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
5,도서관 동쪽 구역5,,2,10,1,1,1,1,0,0,0,0,0,0,"[14, 1]",0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 3]",75,"[11004, 3]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
6,도서관 동쪽 구역6,,2,10,1,1,1,1,0,0,0,0,0,0,"[1, 1]",0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 3]",75,"[11004, 3]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
7,도서관 동쪽 구역7,,2,10,1,1,1,1,0,0,0,0,0,0,"[14, 1]",0,[0],[0],0,[0],21,0,800,21,0,50,[0],0,0,"[5, 5]",0,[],50,"[6, 10]",50,"[50, 100]",75,"[11002, 4]",75,"[11004, 4]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
16,젤리틴 마을1,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 5]",75,"[11019, 5]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Fantasytown_1.json,thumb_fantasytown_scene,bgm_adv_town,FantasyTown_battle,,0
17,젤리틴 마을2,,2,10,1,12,1,1,0,0,0,0,0,0,"[1, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 6]",75,"[11019, 6]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Fantasytown_1.json,thumb_fantasytown_scene,bgm_adv_town,FantasyTown_battle,,0
