SkillId,SkillLevel,NameKor,ShortName,NameDescKor,UseUserAllHitEffect,HideCastingPostfix,CardCastingEffectName,CardEffectName,PortraitCastingEffectName,PortraitEffectName,EnemyEffectName,UserHitEffectName,UserBuffStayEffectName,EnemyHitEffectName,EnemyBuffStayEffectName,SimpleCardCastingEffectName,SimpleCardEffectName,SimplePortraitCastingEffectName,SimplePortraitEffectName,SimpleEnemyEffectName,SimpleUserHitEffectName,SimpleUserBuffStayEffectName,SimpleEnemyHitEffectName,SimpleEnemyBuffStayEffectName,Answer,AnswerType,TargetType,TargetCount,TargetDied,CastingTimeMs,DelayTimeMs,CooltimeMs,CooltimeGroup,SkillGrade,ShowAlert,ShowTarget,BlockInterrupt,BlockDodge,BlockReflect,BlockTaunt,PassiveProcOneTime,PassiveProcShow,FixBuffData1,FixBuffData2,NormalBuffData1,NormalBuffData2,ShowMobSkillDesc,FixDesc,Desc
1,1,부활이펙트,,,,,,,,,,Rz_Revive,,,,,,,,,Rz_Revive,,,,0,0,Self,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,,
2,1,회복이펙트,,,,,,,,,,Rz_Regen,,,,,,,,,Rz_Regen_S,,,,0,0,Self,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,,
3,1,변신이펙트,,,,,,,,,,,,Rz_Transformation,,,,,,,,,Rz_Transformation,,0,0,Self,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,,
11,1,화살표용 더미스킬,,,,,,,,,,,,,,,,,,,,,,,0,0,Self,0,0,0,0,0,0,1,0,0,0,0,0,0,,,"{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,,
12,1,화살표용 더미스킬,,,,,,,,,,,,,,,,,,,,,,,0,0,Self,0,0,0,0,0,0,2,0,0,0,0,0,0,,,"{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,,
13,1,화살표용 더미스킬,,,,,,,,,,,,,,,,,,,,,,,0,0,Self,0,0,0,0,0,0,3,0,0,0,0,0,0,,,"{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,,
21,1,반격 - 가시 발동효과,,,,,,,,,,,,,,,,,,,,,,,0,0,Self,0,0,0,0,0,0,0,0,0,1,1,1,1,,,"{'BuffId': 2010, 'BuffValue': [10000, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 2010, 'BuffValue': [10000, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,[게임 내에 보이면 신고] 패시브 스킬의 발동 액티브 스킬,
22,1,소생 - 회복 발동효과,,,,,,,,,,,,,,,,,,,,,,,0,0,Self,0,0,0,0,0,0,0,0,0,0,1,1,0,,,"{'BuffId': 3006, 'BuffValue': [0, 10000, 0], 'SubValue': [0], 'BuffDurationMs': 8000, 'BuffIntervalMs': 1000, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 3006, 'BuffValue': [0, 10000, 0], 'SubValue': [0], 'BuffDurationMs': 8000, 'BuffIntervalMs': 1000, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,[게임 내에 보이면 신고] 패시브 스킬의 발동 액티브 스킬,
23,1,평안 - 회복 발동효과,,,,,,,,,,,,,,,,,,,,,,,0,0,Self,0,0,0,0,0,0,0,0,0,0,1,1,0,,,"{'BuffId': 3004, 'BuffValue': [0, 10000, 0], 'SubValue': [0], 'BuffDurationMs': 8000, 'BuffIntervalMs': 1000, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 3004, 'BuffValue': [0, 10000, 0], 'SubValue': [0], 'BuffDurationMs': 8000, 'BuffIntervalMs': 1000, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,[게임 내에 보이면 신고] 패시브 스킬의 발동 액티브 스킬,
24,1,신성 - 공격 발동효과,,,,,,,,,,,,,,,,,,,,,,,0,0,HostileParty,0,0,0,0,0,0,0,0,0,1,1,1,1,,,"{'BuffId': 2012, 'BuffValue': [10000, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}","{'BuffId': 2012, 'BuffValue': [10000, 0, 0], 'SubValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 0, 'BuffValue': [0], 'BuffDurationMs': 0, 'BuffIntervalMs': 0, 'BuffStack': 0, 'BuffStackType': 0}",,[게임 내에 보이면 신고] 패시브 스킬의 발동 액티브 스킬,
1001,1,도발 I,도발,강제로 자신만 공격,,,Rz_Tap_Card_Stay,Rz_Tap_Card,,,,,Rz_Taunt,,,Rz_Tap_Card_S_Stay_S,Rz_Tap_Card_S,,,,,Rz_Taunt_S,,,0,0,Self,0,0,0,0,12000,1001,1,0,0,0,0,0,0,,,"{'BuffId': 7, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 2000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 3018, 'BuffValue': [5500], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 2000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 7, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 2000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 3018, 'BuffValue': [2500], 'BuffDurationMs': 2000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}",,"적이 2초간 자신을 공격하도록 하며, 자신에게 마도서 체력의 55% 만큼 보호막을 생성한다. (다수 공격 시 하나만 적용)","적이 2초간 자신을 공격하도록 하며, 자신에게 마도서 체력의 25%  만큼 보호막을 생성한다. (다수 공격 시 하나만 적용)"
1001,2,도발 II,도발,강제로 자신만 공격,,,Rz_Tap_Card_Stay,Rz_Tap_Card,,,,,Rz_Taunt,,,Rz_Tap_Card_S_Stay_S,Rz_Tap_Card_S,,,,,Rz_Taunt_S,,,0,0,Self,0,0,0,0,11000,1001,2,0,0,0,0,0,0,,,"{'BuffId': 7, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 3000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 3018, 'BuffValue': [6000], 'SubValue': [0], 'OnlyOneProc': '', 'BuffDurationMs': 3000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 7, 'BuffValue': [0, 0, 0], 'SubValue': [0], 'BuffDurationMs': 3000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}","{'BuffId': 3018, 'BuffValue': [3000], 'BuffDurationMs': 3000, 'BuffIntervalMs': 0, 'BuffStack': 1, 'BuffStackType': 0}",,"적이 3초간 자신을 공격하도록 하며, 자신에게 마도서 체력의 60% 만큼 보호막을 생성한다. (다수 공격 시 하나만 적용)","적이 3초간 자신을 공격하도록 하며, 자신에게 마도서 체력의 30%  만큼 보호막을 생성한다. (다수 공격 시 하나만 적용)"
