rarity,role,cost,skilltype,faction,illustrator,atk0,maxatk0,hp0,maxhp0,max,id,name,skill,engname,engskill
7,회복,27,액티브,판타지,0,659,4618,568,4608,9226,17057,에우테르페,참회 VI,Euterpe,Repent VI
7,공격,27,액티브,미스터리,달랑게,790,5529,527,3692,9221,17052,에리스,강타 VI,Eris,Smite VI
7,회복,26,액티브,SF,달랑게,647,4530,646,4525,9055,17006,델핀,참회 VI,Delphine,Repent VI
7,회복,26,액티브,미스터리,송개,645,4518,647,4533,9051,17040,세드나,참회 VI,Sedna,Repent VI
7,방어,26,액티브,판타지,키사,516,3615,776,5433,9048,17036,징글벨,종소리 울려라,Jingle Bell,Jingle all the way
7,공격,26,액티브,판타지,달랑게,775,5430,516,3617,9047,17005,셀라,강타 VI,Sella,Smite VI
7,방어,26,액티브,판타지,니시,516,3617,774,5421,9038,17051,사드,역습 VI,Sade,Counter VI
7,공격,26,액티브,판타지,ZB,773,5417,517,3620,9037,17002,백은의 크리스,고양 VI,White Chris,Enhance VI
7,공격,26,액티브,판타지,SHIHYUN,775,5426,515,3609,9035,17044,루크 쇼트,고양 VI,Luke Short,Enhance VI
7,방어,26,액티브,판타지,마끼아또,515,3611,775,5424,9035,17056,테르프시코레,재생 VI,Terpsichore,Regenerate VI
7,회복,26,액티브,판타지,whoisshe,645,4518,645,4515,9033,17049,세라,보호 VI,Sera,Shield VI
7,방어,26,액티브,판타지,레나,516,3613,774,5419,9032,17048,오필리아,철벽 VI,Ophelia,Fortify VI
8,방어,25,액티브,오리엔탈,망르,442,3584,664,5384,8968,7010,소미인,미미가효,XiaoMeiRen,Fantastic Dishes
8,공격,25,액티브,오리엔탈,HICHI,662,5363,441,3578,8941,7008,발타 선사,폭쇄천력: 破,Zen-Master: Batuo,Collapse: 破
7,방어,25,액티브,미스터리,나묘,506,3547,761,5330,8877,17001,고양이귀 에리스,골절 VI,Nekomimi Eris,Crack VI
7,방어,25,액티브,SF,여놔,507,3550,759,5318,8868,17007,부하 3호 롬멜,재생 VI,Servant 3. Rommel,Regenerate VI
7,회복,25,액티브,판타지,ZIS,633,4437,633,4431,8868,17009,천공의 우라노스,보호 VI,Ouranos of the sky,Shield VI
7,공격,25,액티브,SF,제뉴,760,5323,505,3539,8862,17011,게이머 몽고메리,흡혈 VI,Gamer Montgomery,Drain VI
7,방어,25,액티브,SF,나묘,505,3541,760,5321,8862,17010,개발자 델핀,역습 VI,Dev. Delphine,Counter VI
7,공격,25,액티브,미스터리,anco,759,5318,506,3542,8860,17016,물놀이 양,갈취 VI,Waterpark Sheep,Extortion VI
7,방어,25,액티브,판타지,Mirunai,506,3545,759,5315,8860,17041,와이어트 어프,회피 VI,Wyatt Earp,Evade VI
7,회복,25,액티브,판타지,여놔,632,4427,633,4433,8860,17012,개발자 로엘,치유 VI,Dev. Lowell,Heal VI
7,방어,25,액티브,미스터리,달랑게,507,3550,758,5308,8858,17004,미우,철벽 VI,Miu,Fortify V
7,방어,25,액티브,판타지,송개,506,3545,758,5310,8855,17017,물놀이 류드,돌진 VI,Waterpark Ryude,Charge VI
7,회복,25,액티브,판타지,CTYPE,633,4430,632,4425,8855,17029,정복의 백기사,심문 VI,The White Horseman of the Apocalypse,Interrogate VI
7,회복,25,액티브,미스터리,hakusai,633,4430,632,4425,8855,17025,제니 리에프,치료 VI,Jenny Rief,Cure VI
7,회복,25,액티브,SF,코코립,632,4425,632,4429,8854,17003,볼륨업 모로,우정 VI,Volume-up Dr.Moreau,Friendship VI
7,방어,25,액티브,오리엔탈,POPQN,505,3541,758,5310,8851,17024,에노모토 츠바사,불굴 VI,Enomoto Tsubasa,Fearless VI
7,방어,25,액티브,미스터리,나묘,505,3541,758,5310,8851,17026,할로윈 에리스,억압 VI,Halloween Eris,Suppress VI
7,회복,25,액티브,미스터리,코코립,631,4420,633,4431,8851,17050,이벤트 호라이즌,참회 VI,Event Horizon,Repent VI
7,공격,25,액티브,판타지,코코립,758,5310,505,3539,8849,17020,예식의 벨제붑,분노 VI,Beelzebub at Ceremony,Enrage VI
7,공격,25,액티브,SF,나묘,758,5310,505,3539,8849,17022,정이영,속공 VI,Jung I-Yeong,Swipe VI
7,방어,25,액티브,미스터리,anco,504,3532,758,5312,8844,17037,파차쿠티,난투 VI,Pachacuti,Brawl VI
8,공격,25,액티브,SF,CTYPE,654,5298,427,3466,8764,7007,스펙터 건쉽,죽음의 천사,AC-130H,Angel of Death
8,방어,25,액티브,미스터리,아이작 헤인 3세,432,3503,649,5259,8762,7004,발레트,선봉의 약탈,Valette,Vanguard's Pillage
8,회복,25,액티브,판타지,Mirunai,541,4386,540,4376,8762,7006,릴림,몽마의 키스,Lilim,Kiss of Mare
8,회복,25,액티브,미스터리,ZB,540,4381,538,4365,8746,7009,호프진저,매직 셔플: 드로우!,Hofzinser,Magic Shuffle: Drow!
8,회복,25,액티브,미스터리,달랑게,513,4160,513,4158,8318,7003,그루아가흐,요정의 반향,Gruagach,Fairy's Echo
8,방어,25,액티브,판타지,솔트,410,3326,614,4979,8305,7002,지크프리트,발뭉: 불사신의 검,Siegfried,Balmung: Immortal Blade
7,공격,22,액티브,판타지,KOKA,710,4970,474,3319,8289,17058,노자,폭격 VI,Laozi,Bombard VI
8,공격,25,액티브,SF,HICHI,614,4975,408,3311,8286,7001,루시퍼,타락한 여명,Lucifer,Unholy Dawn
