num,reward,quan,img
1000,SP 포션,1,pot_sp
2500,전투 부활 포션,1,pot_rev
5000,인쇄 티켓,1,tik_pri
7500,SP 포션,1,pot_sp
1000,인쇄 티켓,1,tik_pri
15000,환상석,1,illusion
20000,전투 부활 포션,1,pot_rev
25000,일반 해석서,1,nor_int
30000,우정포인트,1000,Fp
35000,우주의 파편,1,uni_p
40000,일반 성장서,1,nor_exp
45000,전투 부활 포션,2,pot_rev
50000,우주의 파편,1,uni_p
55000,SP 포션,2,pot_sp
62500,인쇄 티켓,2,tik_pri
70000,우주의 파편,1,uni_p
77500,일반 해석서,2,nor_int
85000,환상석,2,illusion
92500,우주의 파편,1,uni_p
100000,마력석,3,Cash
110000,우정포인트,2000,Fp
120000,우주의 파편,1,uni_p
130000,일반 성장서,2,nor_exp
140000,인쇄 티켓,2,tik_pri
150000,우주의 결정,1,uni_c
160000,레어 성장서,2,rar_exp
170000,레어 해석서,1,rar_int
180000,전투 부활 포션,2,pot_rev
190000,환상석,2,illusion
200000,레어 성장서,1,rar_exp
210000,마력석,3,Cash
220000,SP 포션,2,pot_sp
230000,우정포인트,3000,Fp
240000,인쇄 티켓,2,tik_pri
250000,전투 부활 포션,3,pot_rev
260000,SP 포션,3,pot_sp
270000,환상석,3,illusion
280000,우정포인트,5000,Fp
290000,레어 성장서,2,rar_exp
300000,프리미엄 SR손상서,1,5_ran
320000,레어 성장서,1,rar_exp
340000,환상석,3,illusion
360000,전투 부활 포션,3,pot_rev
380000,우정포인트,10000,Fp
400000,마력석,9,Cash
425000,인쇄 티켓,3,tik_pri
450000,레어 성장서,1,rar_exp
475000,전투 부활 포션,3,pot_rev
500000,정예 소환석,3,sum_eli
525000,인쇄 티켓,3,tik_pri
550000,우정포인트,15000,Fp
575000,전투 부활 포션,3,pot_rev
600000,우주의 결정,1,uni_c
625000,인쇄 티켓,3,tik_pri
650000,레어 성장서,1,rar_exp
675000,마력석,1,Cash
700000,환상석,3,illusion
750000,레어 성장서,1,rar_exp
800000,마력석,3,Cash
850000,우주의 결정,1,uni_c
900000,정예 소환석,5,sum_eli
950000,마력석,5,Cash
1000000,초차원의 파편,1,dim_p
1100000,레어 성장서,1,rar_exp
1200000,마력석,2,Cash
1300000,프리미엄 SR손상서,1,5_ran
1400000,레어 성장서,2,rar_exp
1500000,마력석,3,Cash
1600000,환상석,3,illusion
1700000,레어 성장서,1,rar_exp
1800000,마력석,5,Cash
1900000,시즌 탐색권,5,tik_skp
2000000,초차원의 파편,1,dim_p
2100000,레어 성장서,1,rar_exp
2200000,마력석,2,Cash
2300000,프리미엄 SR손상서,1,5_ran
2400000,레어 성장서,2,rar_exp
2500000,마력석,3,Cash
2600000,환상석,3,illusion
2700000,레어 성장서,1,rar_exp
2800000,마력석,5,Cash
2900000,시즌 탐색권,5,tik_skp
3000000,초차원의 파편,1,dim_p
