num,reward,quan,img
1000,SP 포션,1,
2500,전투 부활 포션,1,
5000,인쇄 티켓,1,
7500,SP 포션,1,
1000,인쇄 티켓,1,
15000,환상석,1,
20000,전투 부활 포션,1,
25000,일반 해석서,1,
30000,우정포인트,1000,
35000,우주의 파편,1,
40000,일반 성장서,1,
45000,전투 부활 포션,2,
50000,우주의 파편,1,
55000,SP 포션,2,
62500,인쇄 티켓,2,
70000,우주의 파편,1,
77500,일반 해석서,2,
85000,환상석,2,
92500,우주의 파편,1,
100000,마력석,3,
110000,우정포인트,2000,
120000,우주의 파편,1,
130000,일반 성장서,2,
140000,인쇄 티켓,2,
150000,우주의 결정,1,
160000,레어 성장서,2,
170000,레어 해석서,1,
180000,전투 부활 포션,2,
190000,환상석,2,
200000,레어 성장서,1,
210000,마력석,3,
220000,SP 포션,2,
230000,우정포인트,3000,
240000,인쇄 티켓,2,
250000,전투 부활 포션,3,
260000,SP 포션,3,
270000,환상석,3,
280000,우정포인트,5000,
290000,레어 성장서,2,
300000,프리미엄 SR손상서,1,
320000,레어 성장서,1,
340000,환상석,3,
360000,전투 부활 포션,3,
380000,우정포인트,10000,
400000,마력석,9,
425000,인쇄 티켓,3,
450000,레어 성장서,1,
475000,전투 부활 포션,3,
500000,정예 소환석,3,
525000,인쇄 티켓,3,
550000,우정포인트,15000,
575000,전투 부활 포션,3,
600000,우주의 결정,1,
625000,인쇄 티켓,3,
650000,레어 성장서,1,
675000,마력석,1,
700000,환상석,3,
750000,레어 성장서,1,
800000,마력석,3,
850000,우주의 결정,1,
900000,정예 소환석,5,
950000,마력석,5,
1000000,초차원의 파편,1,
1100000,레어 성장서,1,
1200000,마력석,2,
1300000,프리미엄 SR손상서,1,
1400000,레어 성장서,2,
1500000,마력석,3,
1600000,환상석,3,
1700000,레어 성장서,1,
1800000,마력석,5,
1900000,시즌 탐색권,5,
2000000,초차원의 파편,1,
2100000,레어 성장서,1,
2200000,마력석,2,
2300000,프리미엄 SR손상서,1,
2400000,레어 성장서,2,
2500000,마력석,3,
2600000,환상석,3,
2700000,레어 성장서,1,
2800000,마력석,5,
2900000,시즌 탐색권,5,
3000000,초차원의 파편,1,
