Name,skilltype,role,Basic,Bonus
Mercury,passive,spr,기본 공격 시 32.5% 확률로 10초간 2초마다 덱 정신력의 4.25% 위력으로 참회 효과를 준다.,기본 공격 시 42.5% 확률로 10초간 2초마다 덱 정신력의 6.5% 위력으로 참회 효과를 준다.
검은 개의 주시,passive,spr,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 136%만큼 적에게 피해를 준다. 자신의 모든 마도서 정신력을 1.75%만큼 증가시킨다. ,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 172%만큼 적에게 피해를 준다. 자신의 모든 마도서 정신력을 2.2%만큼 증가시킨다. 
격려 I,passive,spr,"모든 파티원의 마도서  공격력을 1.5%, 체력을 1.5%, 정신력을 2%, 증가시킨다.","모든 파티원의 마도서 공격력을 2.7%, 체력을 2.7%, 정신력을 5.4%, 증가시킨다."
격려 II,passive,spr,"모든 파티원의 마도서  공격력을 1.75%, 체력을 1.75%, 정신력을 3%, 증가시킨다.","모든 파티원의 마도서 공격력을 3%, 체력을 3%, 정신력을 6%, 증가시킨다."
격려 III,passive,spr,"모든 파티원의 마도서  공격력을 2%, 체력을 2%, 정신력을 4%, 증가시킨다.","모든 파티원의 마도서 공격력을 3.3%, 체력을 3.3%, 정신력을 6.6%, 증가시킨다."
격려 IV,passive,spr,"모든 파티원의 마도서  공격력을 2.25%, 체력을 2.25%, 정신력을 5%, 증가시킨다.","모든 파티원의 마도서 공격력을 3.6%, 체력을 3.6%, 정신력을 7.2%, 증가시킨다."
격려 V,passive,spr,"모든 파티원의 마도서  공격력을 2.5%, 체력을 2.5%, 정신력을 6%, 증가시킨다.","모든 파티원의 마도서 공격력을 3.9%, 체력을 3.9%, 정신력을 7.8%, 증가시킨다."
기도 I,passive,spr,자신의 모든 마도서 정신력을 5.6%만큼 증가시킨다.,자신의 모든 마도서 정신력을 9%만큼 증가시킨다.
기도 II,passive,spr,자신의 모든 마도서 정신력을 7.2%만큼 증가시킨다.,자신의 모든 마도서 정신력을 10.8%만큼 증가시킨다.
기도 III,passive,spr,자신의 모든 마도서 정신력을 8.8%만큼 증가시킨다.,자신의 모든 마도서 정신력을 12%만큼 증가시킨다.
기도 IV,passive,spr,자신의 모든 마도서 정신력을 10.4%만큼 증가시킨다.,자신의 모든 마도서 정신력을 13.2%만큼 증가시킨다.
기도 V,passive,spr,자신의 모든 마도서 정신력을 12%만큼 증가시킨다.,자신의 모든 마도서 정신력을 15%만큼 증가시킨다.
매직 셔플: 드로우!,active,spr,2초마다 한 장씩 카드를 뽑아 적에게 최대 5장까지 제공한다. 스킬을 사용하면 카드의 조합에 따라 다양한 효과가 발동한다.,2초마다 한 장씩 카드를 뽑아 적에게 최대 5장까지 제공한다. 스킬을 사용하면 카드의 조합에 따라 다양한 효과가 발동한다.
몽마의 키스,active,spr,"10초간 2초마다 마도서 정신력의 40% 위력으로 고정 피해를 주고, 피해량의 17% 만큼 체력을 흡수한다. 징벌 사용 시, 효과를 소모하고 현혹 효과를 건다.","10초간 2초마다 마도서 정신력의 65% 위력으로 고정 피해를 주고, 피해량의 17% 만큼 체력을 흡수한다. 징벌 사용 시, 효과를 소모하고 현혹 효과를 건다."
보호 II,active,spr,공격을 받는 파티원들에게 마도서 정신력 115% 위력의 보호막을 6초간 생성해준다.  (대상 파티원 수가 늘어나면 효과 감소),공격을 받는 파티원들에게 마도서 정신력 155% 위력의 보호막을 6초간 생성해준다. (대상 파티원 수가 늘어나면 효과 감소)
보호 III,active,spr,공격을 받는 파티원들에게 마도서 정신력 130% 위력의 보호막을 6초간 생성해준다.  (대상 파티원 수가 늘어나면 효과 감소),공격을 받는 파티원들에게 마도서 정신력 170% 위력의 보호막을 6초간 생성해준다. (대상 파티원 수가 늘어나면 효과 감소)
보호 IV,active,spr,공격을 받는 파티원들에게 마도서 정신력 145% 위력의 보호막을 6초간 생성해준다.  (대상 파티원 수가 늘어나면 효과 감소),공격을 받는 파티원들에게 마도서 정신력 185% 위력의 보호막을 6초간 생성해준다. (대상 파티원 수가 늘어나면 효과 감소)
보호 V,active,spr,공격을 받는 파티원들에게 마도서 정신력 160% 위력의 보호막을 6초간 생성해준다.  (대상 파티원 수가 늘어나면 효과 감소),공격을 받는 파티원들에게 마도서 정신력 200% 위력의 보호막을 6초간 생성해준다. (대상 파티원 수가 늘어나면 효과 감소)
보호 VI,active,spr,공격을 받는 파티원들에게 마도서 정신력 175% 위력의 보호막을 6초간 생성해준다.  (대상 파티원 수가 늘어나면 효과 감소),공격을 받는 파티원들에게 마도서 정신력 215% 위력의 보호막을 6초간 생성해준다. (대상 파티원 수가 늘어나면 효과 감소)
분리수거,active,spr,"파티원 중 한 명의 능력치를 마도서 정신력의 100% 위력으로 10초간 강화한다. (방어-체력 / 공격-공격력 / 회복-정신력) 해당 파티원이 없을 경우, 효과는 무시된다.","파티원 중 한 명의 능력치를 마도서 정신력의 200% 위력으로 10초간 강화한다. (방어-체력 / 공격-공격력 / 회복-정신력) 해당 파티원이 없을 경우, 효과는 무시된다."
신성 I,passive,spr,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 60%만큼 적에게 피해를 준다.,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 112%만큼 적에게 피해를 준다.
신성 III,passive,spr,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 100%만큼 적에게 피해를 준다.,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 144%만큼 적에게 피해를 준다.
신성 IV,passive,spr,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 120%만큼 적에게 피해를 준다.,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 160%만큼 적에게 피해를 준다.
신성 V,passive,spr,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 140%만큼 적에게 피해를 준다.,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 176%만큼 적에게 피해를 준다.
신성 VI,passive,spr,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 145%만큼 적에게 피해를 준다.,회복 역할 스킬 사용 시 최대 체력을 초과한 회복량의 181%만큼 적에게 피해를 준다.
심문 III,active,spr,"8초간 적의 회복 효과를 42%만큼 감소시키고, 10초간 2.5초마다 마도서 정신력의 28% 위력으로 고정 피해를 준다.","8초간 적의 회복 효과를 55%만큼 감소시키고, 10초간 2.5초마다 마도서 정신력의 45% 위력으로 고정 피해를 준다."
심문 IV,active,spr,"8초간 적의 회복 효과를 46%만큼 감소시키고, 10초간 2.5초마다 마도서 정신력의 31% 위력으로 고정 피해를 준다.","8초간 적의 회복 효과를 60%만큼 감소시키고, 10초간 2.5초마다 마도서 정신력의 50% 위력으로 고정 피해를 준다."
심문 V,active,spr,"8초간 적의 회복 효과를 50%만큼 감소시키고, 10초간 2.5초마다 마도서 정신력의 35% 위력으로 고정 피해를 준다.","8초간 적의 회복 효과를 65%만큼 감소시키고, 10초간 2.5초마다 마도서 정신력의 55% 위력으로 고정 피해를 준다."
아르카나,active,spr,60% 확률로 마도서 정신력의 100% 만큼 정신력과 공격력을 10초간 증가시키는 버프를 파티원에게 걸어준다. 또는 40% 확률로 다른 효과가 발동한다.,60% 확률로 마도서 정신력의 225% 만큼 정신력과 공격력을 10초간 증가시키는 버프를 파티원에게 걸어준다. 또는 40% 확률로 다른 효과가 발동한다.
안위 I,passive,spr,"자신의 모든 마도서 공격력을 2%, 체력을 2%, 정신력을 2%, 증가시킨다.","자신의 모든 마도서 공격력을 5.4%, 체력을 5.4%, 정신력을 5.4%, 증가시킨다."
안위 II,passive,spr,"자신의 모든 마도서 공격력을 3%, 체력을 3%, 정신력을 3%, 증가시킨다.","자신의 모든 마도서 공격력을 6%, 체력을 6%, 정신력을 6%, 증가시킨다."
안위 III,passive,spr,"자신의 모든 마도서 공격력을 4%, 체력을 4%, 정신력을 4%, 증가시킨다.","자신의 모든 마도서 공격력을 6.6%, 체력을 6.6%, 정신력을 6.6%, 증가시킨다."
안위 IV,passive,spr,"자신의 모든 마도서 공격력을 5%, 체력을 5%, 정신력을 5%, 증가시킨다.","자신의 모든 마도서 공격력을 7.2%, 체력을 7.2%, 정신력을 7.2%, 증가시킨다."
안위 V,passive,spr,"자신의 모든 마도서 공격력을 6%, 체력을 6%, 정신력을 6%, 증가시킨다.","자신의 모든 마도서 공격력을 7.8%, 체력을 7.8%, 정신력을 7.8%, 증가시킨다."
요정의 반향,active,spr,파티원의 체력이 낮은 순서대로 마도서 정신력의 43/34/27/22/18/14/11%만큼 7번 연속해서 회복시킨다. 같은 대상에게 중복 회복 시 효과가 감소한다.,파티원의 체력이 낮은 순서대로 마도서 정신력의 85/68/54/44/35/28/22% 만큼 7번 연속해서 회복시킨다. 같은 대상에게 중복 회복 시 효과가 감소한다.
우정 I,active,spr,모든 파티원의 체력을 마도서 정신력의 40% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 53% 위력으로 회복시킨다.
우정 II,active,spr,모든 파티원의 체력을 마도서 정신력의 46% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 61% 위력으로 회복시킨다.
